ID	Date	Lat	Lon	Site	DW	Mat	Sex	Month	CYP	GST	UGT	NPH	PYR	BaP	LPO
SJR14-01	11/7/2014	30.40773333	-81.52108333	4	27	1	1	11	2.518	20.14937403	89.91				36.0856385
SJR14-02	11/7/2014	30.44038333	-81.45436667	4	21.5	0	1	11	0.456	9.105671316	61.62	336343	3935	230	38.66004963
SJR14-03	12/2/2014	30.45136667	-81.44698333	4	24	1	1	12	1.165	31.9252369	73.43	224403	1220	0	6.619217082
SJR14-04	12/2/2014	30.5102	-81.46255	3	26	1	1	12	1.724	18.43245165	83.23	202015	1694	0	13.25174825
SJR14-05	12/2/2014	30.54565	-81.46523333	3	27	0	0	12	2.546	20.70907886	47.56	224403	3947	644	10.98687241
SJR14-06	12/4/2014	30.65843333	-81.4828	2	23	1	1	12	1.447	30.84938644	56.05	187090	1800	0	6.950928382
SJR14-07	12/4/2014	30.65843333	-81.4828	2	24	1	0	12	1.551	25.69616316	9.91	336343	2090	0	12.61744966
SJR14-08	12/4/2014	30.65843333	-81.4828	2	24	1	1	12	2.563	23.47028937	47.78	216940	1506	0	6.362032463
SJR15-01	1/22/2015	29.8761	-81.6116	4	28	1	0	1	0.746	21.24008088	65.33	925896	11122	9773	2.197916667
SJR15-02	1/27/2015	30.37575	-81.53158333	4	19	0	1	1	5.003	9.266435287	48.70	2627388	51376	31785	9.63003663
SJR15-03	2/5/2015	30.69396667	-81.4647	2	15	0	1	2	8.260	33.78422277	202.68	1791567	41914	22976	5.825846154
SJR15-04	2/5/2015	30.69396667	-81.4647	2	14	0	1	2	3.374	25.72798503	44.20	485597	8853	3622	6.436792634
SJR15-05	2/5/2015	30.69396667	-81.4647	2	15.6	0	1	2	3.963	40.70813216	41.24	575149	5996	2269	4.864842316
SJR15-06	2/12/2015	30.57488333	-81.47345	3	24.1	1	0	2	3.179	8.002300661	30.23	507985	13102	3915	14.4048931
SJR15-07	2/17/2015	29.84241667	-81.5908	4	22.2	1	0	2	0.746	9.319085487	89.72	918433	13114	9476	2.17751938
SJR15-08	2/17/2015	29.82273333	-81.58721667	4	26.2	1	1	2	0.000	18.54	94.77	709478	11322	12733	15.4170068
SJR15-09	3/3/2015	29.662	-81.62541667	4	21.6	0	0	3	2.035	12.86777716	69.72	1246791	14796	9862	6.510679612
SJR15-10	3/3/2015	29.662	-81.62541667	4	16.8	0	0	3	0.578	17.5	29.14	246791	3992	292	30.57910448
SJR15-11	3/3/2015	29.759	-81.5565	4	22.5	0	0	3	0.000	25.16546292	25.09	791567	8547	6613	1.888268156
SJR15-12	3/24/2015	30.39626667	-81.59245	4	25.4	1	1	3	1.411	3.998994539	68.11	522910	7453	1695	5.207371795
SJR15-13	3/24/2015	30.39626667	-81.59245	4	24.4	1	1	3	3.765	5.686974695	9.24	336343	5065	1235	3.99510304
SJR15-14	3/24/2015	30.39626667	-81.59245	4	20.8	0	1	3	2.096	5.822087287	16.32	410970	4547	596	6.067679774
SJR15-15	3/24/2015	30.39626667	-81.59245	4	24.8	1	1	3	0.000	12.47417456	77.88	2507985	52208	26806	13.5212704
SJR15-16	4/14/2015	29.78626667	-81.53013333	4	28.5	1	0	4	2.578	9.940357853	41.25	358731	2547	1907	13.61152361
SJR15-17	4/14/2015	29.78626667	-81.53013333	4	29.6	1	0	4	0.925	10.46353458	26.77	202015	2543	1411	8.538706516
SJR15-18	5/18/2015	30.50206667	-81.49155	3	19.6	0	0	5	4.822	17.39562624	97.43				4.523305085
SJR15-19	5/18/2015	30.50206667	-81.49155	3	25	1	1	5	9.149	11.71607555	40.32	231866	1751	0	6.865003808
SJR15-20	5/20/2015	30.37198333	-81.52076667	4	25.8	1	1	5	9.081	12.35524705	26.14	134851	886	1	49.87227325
SJR15-21	5/20/2015	30.35768333	-81.52713333	4	22.1	0	0	5	6.436	9.604210486	39.06	112463	94	0	34.0552465
SJR15-22	5/20/2015	30.421	-81.5306	4	26	1	0	5	5.017	54.9548239	99.92	463209	4278	2341	29.28675676
SJR15-23	5/26/2015	30.14768333	-81.71033333	4	22.6	1	1	5	6.686	17.77950185	43.83	179627	302	0	8.263967611
SJR15-24	5/26/2015	30.14768333	-81.71033333	4	21.6	0	1	5	0.000	23.73816801	0.00	224403	2714	199	7.255865922
SJR15-25	5/26/2015	30.14768333	-81.71033333	4	21.8	1	0	5	8.148	37.58543268	39.35	239328	567	0	4.732624113
SJR15-26	5/27/2015	30.70056667	-81.47778333	2	23.3	1	1	5	7.734	31.9252369	39.53	239328	846	0	13.94539007
SJR15-27	5/27/2015	30.70056667	-81.47778333	2	19.1	0	0	5	3.696	26.31271196	3.30				9.2140625
SJR15-28	5/27/2015	30.658	-81.4825	2	21.4	1	0	5	0.847	20.21767699	0.00	179627	6376	0	4.992622951
SJR15-29	5/27/2015	30.60823333	-81.47911667	3	22.8	1	0	5	7.296	18.17665436	39.23	530373	40233	11524	27.57448537
SJR15-30	5/27/2015	30.63995	-81.49151667	2	24.5	1	1	5	3.096	17.88212524	44.21	194552	10167	101	6.606
SJR15-31	5/27/2015	30.63995	-81.49151667	2	23.9	1	0	5	3.842	30.02816435	22.07	261716	10327	554	11.81716738
SJR15-32	6/3/2015	30.6754	-81.47398333	2	24.2	1	1	6	0.944	12.68981854	26.37	246791	7192	0	16.79565833
SJR15-33	6/3/2015	30.63958333	-81.48796667	2	22.8	1	1	6	2.949	13.78396289	45.65	202015	9347	0	20.47621359
SJR15-34	6/3/2015	30.63958333	-81.48796667	2	24.9	1	0	6	6.977	33.80166429	15.28	507985	12269	1334	22.35535714
SJR15-35	6/4/2015	30.5467	-81.50606667	3	23.4	1	1	6	10.981	26.50762094	96.01	224403	17188	4072	33.44878049
SJR15-36	6/10/2015	30.42186667	-81.47801667	4	21.4	1	0	6	4.217	19.20842097	10.65	142313	7380	0	30.04207574
SJR15-37	6/10/2015	30.42186667	-81.47801667	4	22.2	1	0	6	4.016	12.32912602	51.39	254254	8514	0	42.58727915
SJR15-38	6/10/2015	30.42381667	-81.50333333	4	19.7	1	0	6	3.786	19.98590468	0.00	336343	11776	2459	31.18459215
SJR15-39	6/10/2015	30.42381667	-81.50333333	4	15.2	0	0	6	4.759	11.47967836	0.00	231866	9971	404	9.64504065
SJR15-40	6/12/2015	31.03877	-81.45527	1	27.6	1	0	6	2.824	28.48949914	0.00	246791	16008	4142	18.715
